background	rust	chlorosis	leaf
237, 242, 243	44, 144, 183	53, 119, 104	43, 141, 116
248, 250, 251	0, 87, 115	41, 106, 92	23, 131, 104
230, 234, 236	0, 90, 126	57, 121, 106	31, 134, 106
231, 236, 237	11, 107, 143	49, 115, 100	39, 132, 106
233, 238, 239	12, 117, 148	60, 124, 109	39, 137, 110
230, 234, 235	0, 91, 112	51, 116, 101	9, 124, 96
223, 228, 229	1, 107, 133	67, 132, 117	29, 132, 105
232, 237, 238	0, 98, 125	52, 118, 103	48, 140, 114
233, 238, 239	0, 88, 110	52, 119, 104	53, 148, 121
240, 245, 246	0, 96, 109	65, 130, 115	16, 128, 101
230, 235, 236	0, 99, 117	69, 133, 118	32, 134, 107
234, 239, 240	0, 92, 109	56, 122, 107	46, 137, 113
231, 236, 237	8, 101, 114	67, 133, 118	47, 142, 117
222, 225, 230	34, 112, 121	45, 125, 117	42, 115, 97
224, 227, 232	22, 107, 126	87, 161, 149	50, 123, 105
222, 225, 230	27, 120, 140	56, 129, 119	42, 115, 97
222, 225, 230	0, 111, 137	73, 143, 131	47, 121, 99
222, 225, 230	1, 76, 95	30, 116, 109	50, 122, 105
223, 226, 231	1, 92, 126	93, 168, 155	58, 131, 110
221, 225, 230	0, 96, 129	82, 153, 144	43, 118, 95
220, 223, 228	0, 98, 136	51, 127, 112	45, 115, 95
218, 222, 227	0, 77, 103	43, 126, 119	50, 120, 102
218, 223, 228	45, 118, 159	68, 144, 132	55, 124, 104
216, 220, 225	1, 99, 140	57, 131, 119	37, 109, 88
214, 218, 223	0, 87, 135	60, 135, 117	45, 114, 94
214, 218, 222	25, 94, 124	19, 106, 97	46, 116, 95
215, 219, 224	77, 141, 189	56, 131, 117	47, 118, 97
214, 218, 223	28, 109, 156	58, 131, 117	35, 107, 86
213, 216, 221	1, 91, 145	49, 122, 102	50, 119, 98
236, 241, 242	0, 103, 122	53, 114, 101	60, 115, 96
239, 244, 245	0, 102, 141	85, 149, 134	49, 109, 89
244, 248, 250	0, 103, 150	67, 132, 117	42, 112, 89
234, 238, 240	0, 103, 157	73, 137, 122	30, 102, 80
241, 246, 247	0, 107, 125	62, 124, 110	56, 109, 92
241, 246, 247	0, 105, 143	77, 141, 126	49, 106, 88
249, 254, 255	0, 106, 155	58, 123, 108	51, 117, 95
241, 246, 247	0, 102, 157	64, 129, 113	35, 107, 84
244, 249, 250	0, 102, 123	57, 123, 107	63, 112, 98
246, 251, 253	0, 105, 145	47, 113, 97	60, 112, 94
250, 255, 255	0, 113, 163	50, 116, 101	58, 121, 99
242, 247, 248	0, 105, 161	51, 116, 100	35, 106, 84
244, 249, 250	0, 87, 109	50, 116, 100	55, 102, 87
246, 251, 252	0, 97, 139	73, 137, 122	51, 103, 84
246, 251, 252	0, 116, 168	42, 108, 93	49, 110, 89
239, 244, 245	0, 107, 165	43, 111, 94	36, 103, 81
227, 231, 233	0, 93, 119	70, 142, 125	40, 129, 105
233, 238, 239	0, 101, 142	65, 136, 120	35, 129, 102
228, 233, 234	6, 105, 164	85, 160, 142	37, 131, 104
226, 231, 232	44, 146, 207	61, 137, 121	58, 144, 119
237, 242, 243	0, 104, 129	61, 133, 116	41, 130, 105
229, 234, 235	0, 98, 139	58, 131, 113	43, 136, 108
229, 235, 235	7, 113, 169	59, 135, 117	47, 139, 112
231, 236, 237	50, 151, 211	54, 132, 113	38, 128, 102
233, 238, 239	0, 102, 126	52, 122, 104	36, 127, 100
234, 239, 240	0, 87, 126	54, 128, 110	37, 131, 104
234, 239, 240	6, 108, 161	45, 119, 102	41, 135, 107
233, 237, 239	45, 145, 201	48, 125, 106	31, 123, 97
225, 230, 231	1, 107, 129	59, 130, 112	34, 126, 98
235, 240, 241	0, 91, 126	59, 131, 113	33, 128, 100
243, 248, 249	2, 98, 148	68, 140, 122	37, 131, 104
237, 242, 243	17, 125, 175	48, 125, 106	45, 134, 108
253, 255, 255	23, 125, 137	41, 118, 101	54, 123, 100
243, 248, 249	28, 124, 142	38, 116, 99	48, 117, 94
232, 238, 239	12, 111, 135	36, 109, 93	55, 124, 101
228, 233, 234	2, 108, 135	38, 108, 93	55, 124, 101
223, 227, 229	1, 105, 123	35, 114, 96	60, 126, 104
220, 224, 226	2, 105, 133	22, 104, 87	48, 113, 91
228, 233, 234	0, 101, 136	37, 110, 94	43, 108, 87
240, 245, 246	0, 100, 141	34, 106, 91	56, 124, 101
245, 250, 251	0, 97, 118	32, 110, 93	53, 138, 115
237, 241, 243	0, 92, 124	33, 109, 93	47, 129, 107
235, 238, 241	0, 94, 134	37, 112, 95	54, 135, 112
240, 244, 245	0, 93, 140	33, 106, 90	54, 135, 112
247, 252, 253	0, 94, 113	50, 122, 107	56, 123, 100
241, 246, 247	0, 81, 112	30, 107, 90	42, 109, 87
239, 245, 246	0, 84, 123	23, 101, 85	44, 110, 88
253, 254, 254	0, 83, 128	35, 111, 94	57, 121, 99
226, 230, 235	49, 112, 144	46, 122, 104	49, 133, 111
226, 230, 234	66, 128, 168	59, 136, 117	47, 130, 107
224, 227, 232	29, 100, 147	61, 139, 118	41, 124, 101
220, 224, 229	18, 89, 139	52, 131, 109	54, 135, 112
224, 226, 231	41, 103, 139	45, 120, 103	60, 126, 102
226, 229, 234	49, 112, 156	48, 125, 107	36, 106, 81
226, 231, 234	24, 94, 142	49, 128, 108	55, 119, 97
225, 229, 233	22, 89, 139	46, 126, 104	82, 142, 120
216, 220, 225	31, 97, 132	64, 134, 117	49, 133, 111
218, 222, 227	16, 94, 137	54, 129, 111	67, 148, 125
221, 225, 229	0, 72, 121	55, 132, 111	55, 136, 113
222, 225, 230	9, 73, 125	58, 134, 113	70, 150, 128
221, 224, 229	20, 91, 124	58, 129, 113	44, 108, 88
221, 224, 229	7, 83, 126	50, 125, 107	54, 117, 98
222, 225, 230	0, 61, 111	55, 131, 111	46, 102, 87
223, 226, 231	0, 62, 115	59, 135, 114	50, 106, 90
223, 227, 232	38, 119, 112	41, 116, 101	54, 137, 115
232, 236, 241	12, 107, 109	52, 126, 112	73, 152, 129
226, 230, 234	0, 92, 101	60, 135, 121	59, 139, 117
232, 236, 240	0, 95, 109	67, 141, 128	58, 140, 117
220, 223, 228	35, 116, 105	40, 115, 97	48, 111, 92
215, 217, 223	15, 105, 101	40, 116, 98	54, 115, 96
219, 222, 227	1, 88, 91	49, 126, 109	50, 107, 89
220, 223, 228	0, 90, 100	79, 152, 135	45, 102, 84
204, 208, 213	51, 127, 112	43, 116, 99	52, 113, 93
204, 208, 213	38, 121, 111	49, 122, 106	53, 113, 92
203, 207, 212	7, 101, 97	42, 118, 102	43, 102, 81
208, 212, 216	0, 88, 93	61, 137, 121	51, 108, 88
234, 237, 242	56, 131, 111	44, 116, 100	51, 111, 89
232, 235, 240	45, 128, 112	49, 123, 106	54, 115, 93
231, 234, 239	31, 124, 117	50, 124, 107	38, 97, 75
211, 215, 219	28, 127, 126	66, 139, 122	56, 112, 92
204, 208, 214	57, 149, 124	43, 120, 99	61, 131, 106
206, 210, 216	48, 144, 125	43, 121, 102	47, 120, 95
203, 207, 213	31, 125, 126	49, 128, 108	74, 145, 120
204, 208, 214	22, 117, 129	47, 127, 107	57, 132, 106
205, 209, 215	46, 145, 118	59, 136, 113	55, 126, 100
206, 210, 216	34, 136, 118	52, 130, 107	54, 126, 101
201, 205, 211	4, 111, 118	50, 128, 105	73, 143, 118
203, 207, 213	18, 107, 129	56, 133, 111	55, 129, 104
206, 210, 216	14, 127, 100	64, 141, 118	48, 119, 94
208, 212, 218	24, 133, 119	49, 127, 104	54, 127, 101
203, 207, 213	0, 94, 109	45, 124, 100	50, 123, 98
204, 208, 214	0, 72, 106	55, 134, 110	73, 146, 122
204, 208, 214	2, 121, 97	61, 139, 113	54, 125, 100
210, 213, 219	0, 118, 109	50, 129, 103	59, 131, 106
208, 212, 218	0, 82, 106	50, 129, 103	48, 121, 96
207, 211, 217	2, 73, 115	54, 133, 107	67, 141, 116
211, 214, 219	0, 85, 133	54, 125, 104	66, 126, 105
212, 215, 220	0, 99, 143	53, 125, 104	37, 103, 80
215, 218, 223	0, 103, 137	49, 122, 101	45, 111, 86
217, 220, 225	0, 116, 139	41, 116, 95	38, 102, 76
210, 213, 218	0, 71, 121	59, 130, 109	53, 115, 92
210, 213, 218	0, 104, 154	50, 121, 100	43, 107, 84
211, 214, 219	0, 111, 155	52, 126, 105	46, 110, 86
212, 215, 220	0, 110, 144	46, 124, 103	35, 96, 72
213, 216, 221	0, 75, 123	65, 135, 115	43, 105, 84
214, 217, 222	0, 87, 139	59, 130, 109	36, 99, 77
213, 216, 221	0, 88, 136	61, 134, 113	38, 101, 77
211, 214, 219	0, 89, 131	53, 130, 109	47, 106, 83
215, 218, 223	0, 86, 126	61, 131, 113	41, 109, 88
214, 217, 222	0, 84, 130	59, 130, 109	29, 99, 77
211, 214, 219	0, 76, 120	62, 135, 114	44, 112, 88
207, 211, 216	0, 78, 116	56, 130, 109	42, 107, 85
224, 228, 233	15, 88, 128	56, 125, 113	50, 120, 97
222, 227, 229	42, 118, 165	54, 122, 107	61, 129, 108
226, 231, 232	14, 80, 137	49, 117, 99	34, 105, 84
229, 233, 234	0, 56, 116	45, 114, 93	45, 117, 96
225, 229, 235	12, 84, 124	43, 116, 103	47, 116, 94
229, 233, 235	50, 124, 174	55, 124, 108	66, 133, 113
230, 234, 235	19, 72, 132	52, 120, 101	40, 110, 90
230, 234, 235	0, 44, 110	51, 119, 96	43, 114, 94
225, 229, 234	1, 74, 114	43, 125, 106	40, 111, 89
230, 234, 235	41, 116, 166	51, 130, 110	65, 132, 112
232, 236, 238	19, 76, 137	60, 139, 117	47, 116, 96
233, 237, 239	0, 48, 117	67, 146, 124	41, 112, 92
226, 230, 235	6, 79, 116	44, 121, 104	30, 103, 80
225, 230, 232	42, 113, 161	48, 121, 103	47, 117, 95
229, 233, 234	17, 82, 145	52, 124, 101	44, 114, 92
235, 240, 241	0, 58, 128	54, 123, 100	44, 116, 94
226, 228, 229	0, 73, 117	40, 119, 100	50, 117, 99
234, 236, 237	0, 72, 126	50, 128, 108	35, 105, 85
226, 228, 229	14, 87, 141	70, 147, 124	44, 113, 93
222, 224, 225	20, 101, 153	74, 152, 127	56, 121, 101
221, 226, 227	0, 65, 109	46, 123, 107	18, 93, 75
231, 235, 236	0, 75, 131	44, 122, 103	53, 122, 100
254, 255, 255	43, 110, 165	45, 120, 98	40, 110, 89
244, 249, 250	63, 126, 180	49, 123, 99	48, 115, 94
232, 237, 238	15, 78, 123	55, 131, 111	37, 106, 89
224, 229, 230	49, 108, 163	61, 137, 115	39, 109, 88
234, 238, 239	63, 118, 175	58, 136, 111	40, 110, 89
242, 247, 248	70, 124, 178	63, 141, 115	51, 117, 96
227, 231, 232	23, 79, 123	64, 136, 117	31, 101, 84
218, 223, 224	73, 121, 176	65, 140, 118	45, 114, 93
231, 236, 237	69, 116, 173	59, 137, 113	42, 111, 90
228, 232, 233	72, 120, 176	65, 143, 117	50, 116, 95
222, 227, 228	0, 80, 129	72, 136, 120	14, 100, 76
232, 236, 238	0, 82, 140	94, 156, 141	68, 145, 121
222, 227, 228	37, 118, 175	101, 161, 147	76, 149, 126
225, 229, 230	111, 178, 229	75, 138, 122	73, 144, 122
229, 233, 235	0, 83, 137	61, 126, 109	27, 110, 89
243, 248, 249	0, 83, 143	100, 161, 145	68, 146, 125
232, 237, 238	39, 115, 176	113, 174, 157	67, 145, 123
229, 233, 234	123, 186, 241	84, 145, 129	58, 133, 111
234, 239, 240	0, 84, 137	40, 105, 92	17, 101, 79
238, 243, 244	0, 87, 145	33, 101, 86	65, 147, 124
233, 237, 238	1, 90, 150	36, 104, 88	81, 159, 137
233, 237, 239	63, 136, 189	38, 108, 91	69, 144, 123
231, 236, 237	0, 79, 127	59, 121, 105	10, 96, 74
222, 227, 228	0, 83, 137	90, 151, 136	49, 131, 108
226, 230, 231	20, 103, 155	90, 149, 133	57, 136, 114
234, 239, 240	63, 137, 182	73, 135, 118	66, 142, 121
200, 205, 211	6, 101, 114	51, 113, 98	57, 118, 99
201, 205, 211	0, 83, 112	49, 113, 97	49, 115, 93
201, 205, 211	0, 85, 125	42, 107, 91	54, 120, 98
201, 205, 211	0, 88, 133	44, 112, 95	68, 136, 113
201, 206, 212	5, 101, 109	66, 127, 113	45, 109, 88
204, 208, 214	0, 81, 103	79, 139, 125	37, 104, 82
203, 207, 214	0, 87, 120	77, 136, 122	47, 114, 91
203, 207, 213	0, 87, 126	72, 133, 118	59, 127, 104
206, 211, 217	8, 107, 110	49, 112, 96	54, 117, 93
205, 208, 215	0, 85, 101	46, 109, 93	52, 118, 94
205, 209, 216	0, 83, 106	30, 99, 82	58, 125, 99
205, 209, 215	21, 109, 138	34, 101, 85	57, 127, 100
203, 208, 214	10, 109, 109	40, 104, 88	58, 122, 94
200, 204, 209	0, 85, 95	36, 100, 84	61, 127, 100
202, 206, 211	0, 76, 95	22, 92, 75	68, 134, 107
203, 207, 212	5, 89, 114	28, 97, 81	51, 121, 93
232, 237, 238		73, 134, 120	64, 124, 102
225, 230, 231		90, 150, 136	52, 113, 91
208, 212, 213		80, 140, 126	55, 111, 90
218, 223, 224		64, 121, 110	45, 102, 82
233, 239, 239		73, 134, 120	57, 117, 96
230, 235, 236		69, 129, 115	45, 107, 84
224, 229, 230		71, 132, 118	52, 109, 88
223, 228, 229		73, 134, 122	43, 101, 80
226, 231, 232		75, 139, 124	57, 118, 96
230, 235, 236		64, 126, 115	54, 114, 93
234, 237, 239		71, 134, 122	47, 104, 84
227, 231, 233		77, 140, 128	29, 90, 68
219, 223, 225		64, 129, 113	60, 120, 98
221, 226, 227		72, 135, 123	73, 133, 111
230, 234, 235		71, 134, 122	54, 111, 91
240, 244, 245		57, 121, 109	41, 99, 78
200, 204, 209		1, 97, 150	18, 94, 72
206, 209, 214		25, 114, 148	20, 100, 75
209, 212, 217		39, 119, 129	13, 99, 74
207, 210, 215		51, 127, 121	2, 94, 70
213, 217, 222		1, 96, 145	25, 99, 77
211, 215, 220		25, 114, 147	28, 106, 83
209, 213, 218		41, 120, 130	13, 102, 76
208, 211, 217		50, 129, 121	0, 90, 63
220, 224, 228		1, 101, 141	31, 103, 81
219, 222, 227		25, 115, 140	25, 102, 79
213, 216, 221		49, 128, 135	11, 98, 72
217, 220, 225		58, 134, 124	12, 101, 74
212, 215, 220		4, 101, 130	33, 105, 82
211, 214, 219		23, 110, 127	24, 101, 77
209, 212, 217		52, 128, 129	12, 98, 72
219, 223, 227		61, 133, 122	19, 106, 80
229, 232, 237			32, 94, 73
225, 229, 234			39, 104, 83
224, 227, 232			25, 91, 69
231, 235, 239			26, 90, 68
221, 224, 229			32, 97, 72
229, 231, 236			35, 101, 78
215, 218, 222			24, 92, 68
211, 213, 218			27, 92, 68
222, 223, 228			35, 100, 76
235, 236, 241			32, 99, 75
216, 218, 222			26, 93, 69
207, 208, 212			32, 96, 71
231, 233, 237			26, 92, 68
240, 242, 246			32, 100, 75
222, 223, 228			36, 104, 80
218, 219, 224			1, 78, 53
194, 197, 203			27, 90, 70
195, 198, 204			60, 119, 100
195, 198, 204			71, 130, 111
197, 200, 206			57, 116, 97
195, 198, 204			28, 91, 72
193, 196, 202			57, 117, 97
193, 196, 202			69, 128, 109
196, 199, 205			35, 96, 77
198, 201, 207			43, 102, 86
196, 199, 205			64, 123, 103
195, 198, 204			84, 142, 123
195, 198, 204			66, 125, 105
196, 199, 205			28, 90, 74
195, 198, 204			58, 117, 98
195, 198, 204			77, 135, 115
196, 199, 205			66, 124, 103
197, 200, 206			57, 117, 96
195, 198, 204			53, 109, 93
194, 197, 203			47, 104, 88
193, 196, 202			42, 96, 83
198, 201, 207			52, 113, 91
197, 200, 206			54, 111, 94
196, 199, 205			55, 111, 95
195, 198, 204			60, 113, 99
198, 201, 207			57, 117, 95
198, 201, 207			44, 102, 85
197, 200, 206			44, 101, 85
197, 200, 206			44, 100, 83
197, 200, 206			63, 123, 101
197, 200, 206			52, 108, 92
198, 201, 207			49, 105, 90
198, 201, 207			40, 95, 79
214, 217, 222			43, 125, 99
213, 216, 221			68, 144, 118
211, 214, 219			64, 141, 115
211, 214, 219			54, 131, 105
215, 218, 223			50, 130, 104
213, 216, 221			76, 149, 124
211, 214, 219			56, 131, 105
210, 213, 218			67, 140, 115
210, 213, 218			37, 119, 91
210, 213, 218			71, 146, 121
208, 211, 216			49, 124, 99
208, 211, 216			80, 152, 127
214, 217, 222			52, 131, 105
211, 214, 219			60, 135, 110
208, 212, 217			61, 135, 109
209, 212, 217			113, 181, 156
221, 225, 229			24, 120, 89
219, 223, 227			37, 131, 100
220, 223, 228			29, 130, 100
220, 223, 227			13, 121, 92
217, 221, 225			35, 128, 97
215, 218, 223			31, 126, 95
211, 214, 220			15, 120, 89
214, 218, 222			13, 121, 93
217, 221, 225			27, 122, 91
214, 217, 222			21, 118, 87
209, 213, 218			18, 122, 91
208, 212, 216			20, 125, 96
225, 230, 234			37, 130, 99
224, 228, 232			36, 129, 98
220, 223, 228			24, 126, 96
218, 222, 226			9, 118, 89
226, 231, 232			42, 94, 80
228, 232, 233			46, 102, 87
222, 226, 227			52, 110, 94
228, 233, 234			48, 104, 89
230, 235, 236			59, 110, 93
228, 232, 233			47, 100, 82
220, 224, 225			53, 108, 90
223, 228, 229			51, 104, 86
219, 223, 224			74, 124, 106
221, 225, 226			53, 105, 87
226, 231, 232			54, 106, 88
221, 226, 227			51, 102, 84
214, 219, 220			66, 124, 101
214, 219, 219			65, 124, 101
218, 223, 224			58, 120, 98
221, 226, 227			64, 126, 105
203, 207, 213			58, 110, 92
204, 208, 214			62, 113, 95
204, 208, 214			59, 110, 91
205, 209, 215			48, 101, 81
205, 209, 215			67, 124, 101
204, 208, 214			62, 120, 97
205, 209, 215			59, 119, 96
206, 210, 216			65, 127, 105
202, 206, 212			56, 114, 88
201, 205, 211			51, 109, 86
201, 205, 211			56, 116, 93
203, 207, 212			64, 125, 104
200, 204, 209			56, 114, 89
200, 204, 210			50, 108, 85
201, 205, 210			61, 120, 97
202, 206, 211			65, 126, 105
217, 221, 225			43, 113, 91
217, 220, 225			39, 110, 87
217, 221, 225			39, 110, 88
220, 223, 228			28, 102, 77
223, 227, 231			38, 108, 87
221, 225, 229			30, 102, 80
221, 225, 229			40, 110, 88
224, 228, 233			28, 103, 78
218, 221, 226			35, 106, 86
215, 218, 223			31, 102, 81
212, 215, 221			41, 111, 89
211, 215, 220			27, 100, 78
213, 215, 221			47, 115, 95
213, 216, 221			46, 114, 94
210, 213, 218			47, 116, 96
206, 209, 215			35, 105, 85
211, 213, 218			40, 99, 80
210, 213, 218			52, 112, 93
211, 214, 219			28, 91, 72
212, 215, 220			39, 104, 83
208, 211, 216			37, 95, 76
211, 214, 219			38, 100, 81
213, 216, 221			30, 93, 74
212, 216, 221			39, 104, 84
210, 213, 218			33, 93, 74
215, 218, 223			35, 98, 79
219, 222, 227			33, 95, 76
221, 224, 229			44, 108, 88
211, 214, 219			45, 102, 87
212, 215, 220			48, 108, 89
214, 217, 222			43, 104, 85
216, 219, 224			33, 95, 76
213, 216, 221			80, 127, 113
210, 214, 219			76, 123, 109
216, 219, 224			68, 114, 100
215, 218, 223			55, 101, 87
223, 227, 232			80, 126, 112
220, 223, 229			70, 116, 102
217, 220, 224			78, 124, 110
216, 219, 224			69, 115, 101
223, 227, 231			68, 114, 100
223, 227, 231			57, 104, 90
223, 226, 231			76, 121, 107
224, 228, 233			73, 119, 105
227, 231, 235			83, 128, 114
225, 229, 234			75, 121, 107
223, 226, 231			61, 107, 93
219, 222, 227			60, 107, 93
221, 226, 227			62, 110, 92
232, 236, 237			52, 100, 82
233, 237, 238			59, 108, 89
232, 236, 237			71, 116, 100
226, 231, 232			62, 110, 92
221, 226, 227			50, 98, 80
218, 223, 224			48, 96, 78
225, 230, 231			60, 106, 88
233, 237, 239			52, 100, 83
230, 234, 235			46, 94, 77
220, 225, 226			48, 97, 79
216, 221, 222			66, 112, 95
235, 240, 241			65, 113, 94
237, 242, 243			56, 104, 86
234, 239, 240			60, 108, 90
231, 235, 237			66, 111, 94
203, 207, 213			55, 107, 87
204, 208, 214			63, 112, 94
203, 207, 213			69, 119, 101
202, 206, 212			62, 111, 93
203, 207, 213			35, 88, 68
201, 205, 210			67, 117, 99
204, 208, 214			75, 124, 107
206, 210, 216			79, 128, 110
204, 208, 214			53, 105, 84
202, 206, 212			62, 112, 94
204, 208, 214			81, 130, 113
205, 209, 215			84, 133, 116
205, 209, 215			42, 95, 74
207, 211, 217			78, 127, 109
205, 209, 215			81, 130, 112
203, 207, 213			77, 127, 109
215, 218, 223			56, 105, 91
211, 214, 219			57, 105, 92
210, 213, 218			55, 100, 88
210, 213, 218			49, 94, 82
221, 226, 229			64, 112, 98
217, 221, 225			64, 111, 98
210, 214, 219			58, 102, 91
207, 211, 216			47, 93, 81
219, 222, 227			46, 96, 82
218, 222, 226			41, 89, 76
216, 219, 224			38, 84, 72
215, 218, 223			42, 89, 77
214, 217, 222			50, 100, 85
213, 215, 221			49, 96, 83
214, 217, 222			45, 92, 80
216, 219, 224			41, 88, 76
			72, 122, 104
			82, 131, 113
			73, 122, 104
			59, 107, 89
			74, 123, 105
			80, 129, 112
			64, 113, 95
			50, 98, 80
			61, 111, 93
			61, 111, 94
			49, 98, 81
			47, 95, 78
			61, 111, 94
			60, 111, 93
			53, 102, 84
			56, 104, 85
			59, 107, 89
			69, 116, 99
			56, 101, 84
			58, 102, 85
			71, 119, 101
			74, 121, 103
			64, 108, 91
			56, 104, 86
			64, 112, 94
			48, 96, 78
			54, 103, 85
			48, 96, 78
			62, 110, 93
			75, 121, 104
			50, 97, 79
			66, 113, 96
			45, 117, 93
			47, 118, 93
			42, 113, 89
			47, 118, 94
			43, 116, 92
			53, 123, 98
			50, 119, 96
			59, 128, 104
			54, 121, 99
			52, 121, 98
			54, 123, 100
			59, 129, 105
			41, 98, 78
			59, 114, 94
			54, 108, 88
			46, 101, 81
			62, 124, 103
			58, 123, 102
			60, 128, 106
			52, 124, 101
			49, 105, 86
			29, 86, 66
			61, 116, 96
			57, 111, 91
			43, 99, 80
			51, 107, 87
			53, 108, 88
			45, 100, 79
			38, 95, 76
			76, 129, 110
			53, 108, 88
			48, 103, 82
			43, 93, 79
			42, 92, 78
			44, 94, 80
			42, 93, 82
			52, 101, 87
			45, 95, 82
			43, 92, 79
			41, 92, 82
			58, 107, 92
			47, 97, 83
			40, 91, 78
			43, 94, 84
			49, 98, 84
			37, 88, 74
			32, 83, 70
			39, 91, 80
			54, 105, 87
			59, 107, 90
			58, 105, 88
			57, 106, 88
			45, 97, 78
			46, 96, 78
			59, 106, 88
			56, 105, 88
			59, 109, 91
			55, 105, 87
			46, 95, 77
			44, 93, 76
			67, 117, 99
			65, 114, 97
			45, 96, 79
			42, 92, 74
			46, 107, 86
			43, 104, 82
			48, 109, 87
			52, 113, 90
			53, 110, 89
			53, 112, 91
			49, 108, 87
			48, 109, 86
			56, 114, 92
			54, 113, 91
			51, 111, 90
			50, 111, 89
			55, 115, 93
			48, 110, 88
			54, 116, 95
			59, 120, 98
			37, 94, 75
			49, 104, 85
			40, 96, 78
			44, 101, 81
			31, 89, 70
			44, 98, 81
			47, 101, 83
			44, 99, 81
			36, 93, 74
			41, 94, 76
			51, 103, 85
			50, 103, 85
			47, 101, 83
			42, 95, 78
			47, 101, 83
			48, 101, 83
			37, 93, 77
			36, 92, 76
			34, 92, 78
			38, 96, 83
			34, 90, 74
			33, 89, 72
			32, 90, 76
			36, 95, 81
			39, 94, 79
			42, 97, 82
			39, 96, 82
			37, 96, 82
			33, 90, 74
			28, 85, 69
			31, 87, 73
			40, 96, 83
			59, 112, 92
			52, 106, 86
			41, 97, 78
			39, 95, 76
			63, 117, 97
			61, 114, 94
			50, 106, 87
			44, 100, 81
			51, 105, 85
			67, 120, 100
			48, 104, 85
			48, 104, 85
			45, 97, 77
			67, 119, 100
			41, 94, 76
			50, 104, 86
			49, 102, 84
			44, 98, 80
			48, 104, 85
			46, 102, 83
			58, 110, 92
			51, 105, 86
			53, 108, 89
			50, 105, 86
			52, 105, 87
			48, 103, 84
			52, 107, 88
			49, 105, 86
			55, 107, 90
			48, 103, 85
			44, 100, 82
			41, 98, 79
