background	rust	chlorosis	leaf
209, 213, 217	0, 95, 136	55, 146, 129	55, 106, 93
208, 211, 216	39, 94, 121	45, 138, 119	87, 132, 119
209, 213, 217	0, 74, 110	50, 142, 123	67, 116, 102
209, 213, 217	24, 99, 137	51, 142, 123	42, 92, 78
208, 211, 216	0, 89, 133	55, 146, 126	40, 92, 79
213, 217, 221	34, 90, 116	56, 150, 131	47, 94, 80
214, 218, 222	16, 84, 120	63, 154, 135	47, 96, 82
213, 217, 221	42, 113, 151	67, 156, 137	47, 96, 82
212, 216, 220	0, 84, 128	61, 151, 132	50, 102, 89
210, 214, 218	26, 83, 110	54, 148, 129	59, 107, 93
210, 214, 218	21, 88, 121	52, 145, 126	59, 107, 93
209, 213, 217	51, 120, 158	54, 145, 126	42, 92, 78
207, 210, 215	0, 83, 127	48, 139, 120	47, 99, 86
245, 249, 250	1, 110, 132	49, 144, 120	39, 110, 85
226, 230, 232	0, 104, 142	52, 142, 122	56, 126, 101
237, 242, 243	0, 104, 151	52, 142, 122	54, 121, 99
241, 246, 247	0, 105, 162	64, 151, 131	44, 109, 88
241, 246, 247	0, 99, 131	50, 145, 121	52, 122, 97
238, 243, 244	0, 95, 143	38, 133, 113	48, 118, 94
231, 236, 237	0, 96, 154	48, 140, 121	40, 109, 87
230, 235, 236	0, 97, 160	56, 144, 125	47, 111, 90
216, 221, 222	0, 99, 130	33, 134, 112	39, 110, 85
243, 247, 248	0, 93, 139	23, 126, 107	55, 125, 100
234, 239, 240	0, 95, 150	46, 141, 124	36, 105, 83
210, 215, 216	0, 99, 159	50, 141, 124	50, 114, 93
222, 226, 227	0, 98, 124	36, 138, 117	16, 93, 68
224, 228, 230	0, 90, 126	38, 141, 122	50, 119, 95
235, 240, 241	0, 90, 136	49, 146, 131	59, 126, 104
217, 222, 223	0, 103, 154	46, 140, 126	36, 101, 80
210, 214, 218	11, 115, 128	69, 167, 139	53, 116, 95
213, 217, 221	0, 92, 121	76, 178, 148	63, 126, 105
211, 215, 219	0, 91, 137	65, 171, 142	50, 114, 93
211, 215, 219	0, 81, 143	71, 177, 148	66, 129, 108
209, 213, 217	11, 115, 130	62, 161, 134	47, 111, 90
213, 217, 221	0, 91, 123	75, 175, 148	57, 120, 99
217, 221, 226	0, 80, 130	75, 181, 152	54, 117, 96
218, 222, 227	0, 81, 150	81, 187, 159	51, 115, 94
211, 215, 219	6, 114, 121	74, 176, 149	45, 110, 89
217, 221, 226	0, 86, 113	79, 182, 154	60, 123, 103
222, 225, 230	5, 94, 142	72, 178, 148	56, 119, 98
219, 223, 228	2, 85, 153	58, 165, 136	62, 125, 104
212, 216, 220	19, 121, 124	63, 174, 145	53, 116, 95
216, 220, 224	3, 85, 107	76, 182, 153	62, 125, 104
221, 224, 229	0, 79, 121	72, 178, 148	56, 117, 96
219, 223, 228	0, 79, 143	69, 172, 143	76, 136, 115
227, 231, 233	0, 75, 127	79, 172, 146	49, 99, 86
231, 236, 237	0, 76, 137	77, 175, 146	57, 106, 92
224, 228, 230	0, 85, 151	64, 165, 140	52, 102, 84
231, 236, 237	0, 88, 157	54, 159, 138	46, 100, 80
239, 244, 245	13, 94, 145	86, 179, 153	55, 104, 90
227, 231, 233	0, 82, 144	84, 182, 154	52, 101, 87
231, 236, 237	0, 91, 160	68, 169, 144	47, 100, 82
229, 234, 235	0, 99, 169	62, 166, 145	55, 110, 90
228, 233, 234	9, 93, 142	74, 168, 143	51, 104, 89
230, 235, 236	0, 83, 141	75, 173, 145	62, 114, 98
220, 224, 225	0, 98, 164	61, 162, 137	49, 97, 79
236, 241, 242	0, 95, 162	53, 159, 137	51, 99, 81
227, 231, 233	1, 64, 112	71, 165, 139	51, 100, 86
228, 233, 234	0, 72, 130	73, 171, 143	53, 103, 85
223, 227, 228	0, 107, 170	72, 171, 147	37, 92, 72
228, 233, 234	0, 95, 160	60, 166, 141	50, 105, 85
210, 214, 218	0, 87, 151	104, 193, 169	69, 121, 106
209, 213, 217	0, 99, 157	92, 180, 156	48, 101, 86
210, 214, 218	0, 105, 163	75, 167, 142	63, 110, 93
208, 211, 216	0, 81, 145	80, 175, 150	46, 94, 77
211, 215, 219	0, 96, 158	93, 185, 160	51, 101, 83
209, 213, 217	0, 96, 154	78, 170, 146	48, 99, 81
208, 211, 216	0, 111, 167	72, 165, 140	47, 101, 81
218, 222, 227	0, 80, 141	81, 176, 151	55, 110, 90
209, 213, 217	0, 94, 152	96, 191, 166	43, 97, 81
209, 213, 217	0, 96, 149	77, 172, 147	54, 103, 89
209, 213, 217	6, 122, 176	68, 162, 137	46, 94, 77
207, 210, 215	0, 93, 151	90, 186, 161	50, 94, 78
207, 210, 215	0, 94, 147	76, 176, 153	51, 104, 89
209, 213, 217	1, 117, 167	79, 177, 154	80, 127, 113
211, 215, 219	17, 129, 183	59, 158, 134	61, 108, 91
219, 223, 228	0, 98, 153	71, 172, 146	49, 93, 77
221, 225, 226	0, 108, 155	89, 190, 181	42, 87, 73
222, 226, 227	0, 90, 149	86, 187, 180	52, 96, 82
221, 225, 226	0, 93, 159	89, 190, 186	56, 100, 83
216, 221, 222	0, 84, 153	87, 189, 185	52, 96, 80
221, 225, 226	0, 126, 170	79, 181, 172	42, 87, 73
220, 224, 225	0, 112, 164	77, 179, 172	57, 101, 87
218, 223, 224	0, 76, 137	94, 193, 189	51, 99, 81
217, 222, 223	0, 73, 139	82, 183, 180	32, 81, 64
221, 225, 226	0, 135, 175	55, 159, 150	51, 95, 81
220, 224, 225	20, 140, 185	63, 165, 158	64, 107, 93
221, 225, 226	0, 99, 151	95, 193, 189	54, 102, 84
221, 225, 226	0, 80, 139	87, 185, 182	29, 79, 61
218, 223, 224	0, 136, 169	77, 179, 169	58, 105, 86
221, 225, 226	26, 144, 182	70, 170, 163	62, 109, 91
225, 229, 231	0, 97, 141	84, 181, 177	47, 99, 79
221, 225, 226	0, 80, 130	95, 194, 190	38, 89, 71
220, 224, 229	0, 110, 101	66, 151, 143	44, 89, 75
223, 225, 230	0, 108, 116	84, 165, 157	53, 97, 83
222, 225, 230	0, 95, 120	88, 170, 162	59, 106, 89
219, 222, 227	0, 91, 134	82, 165, 155	53, 101, 82
220, 223, 228	14, 122, 116	67, 153, 144	63, 110, 92
224, 227, 232	0, 104, 116	84, 166, 158	56, 103, 84
223, 226, 231	0, 84, 116	90, 173, 163	52, 103, 83
220, 224, 229	0, 85, 137	85, 168, 156	51, 101, 83
217, 221, 226	11, 121, 118	58, 145, 137	66, 113, 94
221, 224, 229	0, 105, 121	75, 162, 152	59, 106, 87
220, 224, 229	0, 87, 123	86, 171, 160	55, 106, 86
218, 222, 227	0, 82, 138	91, 174, 162	70, 119, 101
221, 224, 229	0, 102, 101	60, 148, 138	56, 103, 84
221, 224, 229	0, 101, 121	64, 152, 140	42, 90, 71
218, 222, 227	0, 91, 133	65, 151, 140	52, 103, 83
217, 221, 226	0, 87, 146	63, 149, 136	44, 94, 77
231, 233, 234	0, 77, 112	74, 137, 129	58, 110, 93
236, 239, 240	0, 78, 139	59, 126, 116	91, 144, 126
236, 237, 237	0, 87, 152	58, 128, 114	63, 117, 98
231, 233, 234	0, 101, 159	49, 122, 106	44, 99, 83
233, 237, 238	0, 80, 114	67, 133, 125	53, 105, 88
242, 246, 247	0, 69, 129	54, 122, 111	86, 139, 121
248, 251, 252	0, 88, 157	53, 122, 109	79, 133, 114
237, 241, 242	0, 102, 170	56, 129, 112	56, 109, 94
233, 238, 240	0, 91, 122	75, 141, 133	62, 114, 96
233, 238, 239	0, 72, 130	61, 128, 118	95, 149, 130
242, 247, 248	0, 86, 157	61, 130, 116	80, 134, 115
232, 237, 238	0, 93, 165	55, 129, 111	44, 99, 83
243, 248, 249	0, 91, 119	77, 142, 134	62, 114, 96
243, 247, 249	0, 76, 132	67, 135, 123	97, 147, 130
242, 247, 248	0, 88, 158	70, 139, 123	76, 127, 110
237, 242, 243	0, 87, 162	55, 128, 110	35, 89, 74
231, 233, 234	0, 70, 120	61, 133, 122	43, 87, 70
240, 242, 243	0, 66, 121	60, 130, 118	50, 94, 78
255, 255, 255	0, 73, 131	65, 132, 117	21, 75, 57
249, 250, 251	0, 72, 121	64, 130, 114	43, 97, 79
230, 232, 233	1, 72, 126	73, 158, 149	41, 83, 70
240, 242, 243	4, 81, 140	82, 163, 149	39, 87, 73
255, 255, 255	4, 63, 124	85, 163, 146	30, 83, 65
255, 255, 255	13, 88, 137	90, 167, 148	34, 88, 70
245, 247, 248	4, 69, 129	62, 134, 122	45, 90, 76
240, 243, 244	20, 91, 153	65, 135, 121	42, 89, 75
250, 252, 253	0, 66, 127	66, 133, 118	31, 84, 66
251, 253, 253	0, 83, 131	64, 130, 114	20, 77, 59
254, 255, 255	1, 67, 131	74, 157, 146	43, 90, 76
245, 248, 249	7, 82, 145	79, 160, 148	36, 87, 73
247, 249, 250	0, 61, 121	76, 158, 143	35, 89, 71
234, 237, 238	0, 79, 127	71, 153, 137	41, 94, 77
249, 252, 252	0, 65, 104	66, 135, 121	61, 114, 94
241, 244, 245	0, 66, 118	68, 136, 121	63, 116, 96
250, 252, 254	0, 73, 130	66, 133, 118	53, 106, 86
240, 242, 243	0, 73, 126	62, 129, 113	32, 88, 68
243, 245, 246	0, 57, 102	69, 151, 139	54, 107, 87
252, 254, 255	0, 57, 115	74, 157, 145	41, 96, 76
243, 245, 246	0, 71, 134	75, 157, 145	53, 106, 86
223, 225, 225	0, 58, 120	73, 157, 144	34, 89, 69
250, 250, 250	0, 55, 104	62, 132, 117	53, 106, 86
244, 244, 244	0, 47, 110	62, 131, 115	59, 113, 93
251, 252, 252	0, 57, 128	61, 127, 112	92, 144, 125
255, 255, 255	0, 57, 124	59, 125, 110	73, 125, 106
222, 225, 226	0, 64, 114	76, 156, 143	64, 117, 97
203, 206, 207	0, 52, 118	70, 153, 139	56, 109, 90
237, 240, 241	0, 54, 127	70, 154, 140	72, 124, 105
241, 244, 245	0, 61, 131	74, 158, 144	64, 117, 97
238, 243, 244	37, 102, 133	60, 140, 122	54, 108, 89
236, 241, 242	62, 122, 167	56, 136, 120	49, 104, 84
242, 247, 248	73, 131, 180	63, 141, 129	52, 102, 84
238, 243, 244	65, 127, 175	61, 143, 131	50, 100, 82
227, 232, 233	56, 118, 151	64, 144, 123	56, 111, 91
226, 231, 232	80, 139, 184	55, 135, 118	54, 108, 89
232, 237, 238	84, 141, 192	54, 134, 117	59, 108, 91
238, 243, 244	59, 120, 171	55, 135, 120	59, 108, 91
234, 239, 240	42, 105, 139	77, 157, 134	40, 96, 76
233, 238, 239	46, 108, 153	68, 147, 126	54, 108, 89
225, 230, 231	47, 110, 161	62, 140, 119	56, 106, 89
225, 230, 231	55, 118, 173	52, 133, 116	59, 108, 91
243, 248, 249	38, 102, 135	69, 149, 127	60, 115, 95
244, 249, 250	47, 109, 154	62, 144, 120	47, 102, 82
233, 238, 239	47, 110, 161	68, 147, 126	50, 100, 82
229, 233, 235	41, 106, 162	60, 141, 123	51, 101, 83
214, 218, 222	62, 153, 164	71, 136, 120	66, 118, 100
214, 219, 222	35, 130, 149	75, 142, 124	44, 99, 79
211, 214, 218	1, 113, 138	75, 141, 124	71, 123, 104
210, 213, 218	7, 121, 148	68, 133, 117	75, 128, 108
230, 235, 236	37, 132, 149	64, 131, 115	105, 138, 131
226, 231, 231	10, 114, 138	66, 134, 115	27, 73, 61
223, 227, 229	0, 104, 135	68, 134, 117	60, 108, 94
226, 231, 232	9, 118, 152	67, 131, 115	67, 119, 101
233, 237, 239	20, 120, 143	65, 132, 116	61, 113, 95
234, 238, 240	0, 110, 139	62, 129, 112	55, 108, 89
232, 237, 238	0, 98, 134	64, 130, 113	62, 115, 95
231, 236, 237	10, 110, 151	67, 131, 115	55, 108, 89
224, 229, 230	38, 133, 158	74, 140, 124	102, 135, 128
227, 232, 233	21, 124, 158	73, 141, 122	38, 82, 70
